article,date,max_ratio,max_ratio_hi,max_ratio_lo,language
AL Qaeda in the Arabian Peninsula,2011-01-02,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-01-09,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-01-16,0.0054264000000000005,0.005874185625,0.005003015625000001,en
AL Qaeda in the Arabian Peninsula,2011-01-23,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-01-30,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-02-06,0.0054264000000000005,0.005874185625,0.005003015625000001,en
AL Qaeda in the Arabian Peninsula,2011-02-13,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-02-20,0.010852800000000001,0.011545813125,0.010191328125000003,en
AL Qaeda in the Arabian Peninsula,2011-02-27,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-03-06,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-03-13,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-03-20,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-03-27,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-04-03,0.0054264000000000005,0.005874185625,0.005003015625000001,en
AL Qaeda in the Arabian Peninsula,2011-04-10,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-04-17,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-04-24,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-05-01,0.0054264000000000005,0.005874185625,0.005003015625000001,en
AL Qaeda in the Arabian Peninsula,2011-05-08,0.027132,0.028560695625,0.025756265625000004,en
AL Qaeda in the Arabian Peninsula,2011-05-15,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-05-22,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-05-29,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-06-05,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-06-12,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-06-19,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-06-26,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-07-03,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-07-10,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-07-17,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-07-24,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-07-31,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-08-07,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-08-14,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-08-21,0.0,0.00020255812500000002,0.0,en
AL Qaeda in the Arabian Peninsula,2011-08-28,0.0,0.00020255812500000002,0.0,en
